team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,1.0,5.0
HOU,10,1.0,3.0,7.0
NYY,29,1.0,4.0,9.0
ATL,26,1.0,4.0,10.0
NYM,14,1.0,4.0,10.0
TOR,23,3.0,7.0,14.0
STL,20,4.0,9.0,17.0
SEA,18,4.0,10.0,17.0
CLE,7,4.0,10.0,17.0
SD,17,4.0,10.0,17.0
TB,21,5.0,11.0,18.0
PHI,25,5.0,11.0,19.0
BAL,3,6.0,13.0,20.0
MIL,30,7.0,14.0,21.0
SF,19,8.0,15.0,22.0
BOS,4,8.0,15.0,22.0
CWS,27,9.0,17.0,24.0
MIN,24,11.0,18.0,25.0
AZ,2,12.0,19.0,26.0
LAA,1,12.0,20.0,26.0
CHC,5,14.0,21.0,27.0
MIA,28,15.0,22.0,28.0
COL,8,16.0,23.0,28.0
TEX,22,16.0,23.0,29.0
DET,9,18.0,25.0,30.0
KC,11,19.0,25.0,30.0
CIN,6,21.0,27.0,30.0
PIT,16,21.0,27.0,30.0
OAK,15,21.0,27.0,30.0
WSH,13,24.0,29.0,30.0
