team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,3.0,11.0
NYY,29,1.0,5.0,15.0
MIL,30,1.0,5.0,15.0
PHI,25,1.0,5.0,15.0
SD,17,1.0,6.0,16.0
BAL,3,1.0,7.0,17.0
CLE,7,1.0,7.0,18.0
AZ,2,2.0,8.0,18.0
ATL,26,2.0,8.0,18.0
NYM,14,2.0,10.0,20.0
HOU,10,2.0,10.0,20.0
DET,9,4.0,12.0,21.0
SEA,18,4.0,14.0,22.0
STL,20,5.0,14.0,23.0
SF,19,6.0,15.0,24.0
BOS,4,7.0,17.0,24.0
CHC,5,7.0,17.0,24.0
KC,11,7.0,17.0,24.0
TB,21,8.0,18.0,25.0
MIN,24,9.0,19.0,26.0
CIN,6,11.0,20.0,27.0
PIT,16,11.0,21.0,27.0
TEX,22,12.0,22.0,27.0
TOR,23,14.0,23.0,28.0
WSH,13,15.0,24.0,28.0
OAK,15,19.0,25.0,29.0
MIA,28,22.0,27.0,29.0
LAA,1,23.0,28.0,29.0
COL,8,23.0,28.0,29.0
CWS,27,30.0,30.0,30.0
