team_abbr,team_id,ci_low,median,ci_high
MIL,30,1.0,3.0,14.05
LAD,12,1.0,6.0,18.0
TOR,23,1.0,6.0,18.0
DET,9,1.0,7.0,19.0
CHC,5,1.0,7.0,20.0
NYM,14,1.0,7.0,20.0
PHI,25,2.0,9.0,22.0
SEA,18,2.0,10.0,23.0
NYY,29,2.0,10.0,23.0
HOU,10,2.0,11.0,23.0
CIN,6,2.95,13.0,24.0
SF,19,3.0,13.0,24.0
BOS,4,3.0,13.0,24.0
SD,17,3.0,14.0,25.0
TEX,22,3.0,15.0,26.0
KC,11,4.0,16.0,26.0
LAA,1,4.0,16.0,26.0
CLE,7,4.0,16.0,26.0
STL,20,4.0,16.0,26.0
TB,21,5.0,17.0,26.0
BAL,3,5.0,17.0,26.0
MIA,28,7.0,20.0,27.0
MIN,24,8.0,20.0,27.0
AZ,2,9.0,22.0,28.0
PIT,16,14.0,25.0,29.0
ATH,15,15.0,25.0,29.0
ATL,26,15.0,25.0,29.0
WSH,13,17.0,26.0,29.0
CWS,27,24.0,29.0,30.0
COL,8,29.0,30.0,30.0
