team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,3.0,9.0
MIL,30,1.0,3.0,17.0
NYY,29,2.0,4.0,16.0
DET,9,2.0,5.0,13.0
NYM,14,4.0,5.0,15.0
CHC,5,1.0,5.5,20.0
TB,21,1.0,7.0,20.0
SEA,18,1.0,7.0,24.0
TEX,22,3.0,9.0,16.0
BOS,4,6.0,10.0,18.0
PHI,25,1.0,12.0,15.0
TOR,23,5.0,12.0,20.0
STL,20,6.0,12.0,21.0
CIN,6,3.0,13.0,22.0
SF,19,6.0,14.0,17.0
HOU,10,7.0,14.0,20.0
ATL,26,12.0,17.0,27.0
MIN,24,13.0,18.0,26.0
LAA,1,14.0,20.0,26.0
SD,17,7.0,21.0,25.0
KC,11,12.0,21.0,25.0
AZ,2,17.0,21.0,25.0
BAL,3,17.0,22.0,28.0
CLE,7,8.0,23.0,28.0
MIA,28,16.0,23.0,26.0
ATH,15,18.0,26.0,29.0
PIT,16,23.0,27.0,28.0
CWS,27,23.0,27.0,29.0
WSH,13,26.0,28.0,30.0
COL,8,29.0,30.0,30.0
